ITEM_ID,OP_DATE,HOL_YN,CONFIG,PSS_ALL,D_3,PSS_SPML,ACTUAL_DEMAND
KE0901BC,2015-11-03,0,94,,19,0,51
KE0901BC,2015-11-04,0,94,,21,1,43
KE0901BC,2015-11-05,0,94,,37,0,59
KE0901BC,2015-11-06,0,94,,59,1,91
KE0901BC,2015-11-07,0,94,,43,0,78
KE0901BC,2015-11-08,0,94,,43,3,71
KE0901BC,2015-11-09,0,94,,28,0,56
KE0901BC,2015-11-10,0,94,,33,0,58
KE0901BC,2015-11-11,0,94,,36,5,59
KE0901BC,2015-11-12,0,94,,21,1,53
KE0901BC,2015-11-13,0,94,,35,0,72
KE0901BC,2015-11-14,0,94,,47,2,92
KE0901BC,2015-11-15,0,94,,53,1,80
KE0901BC,2015-11-16,0,94,,37,1,60
KE0901BC,2015-11-17,0,94,,18,0,26
KE0901BC,2015-11-18,0,94,,16,0,33
KE0901BC,2015-11-19,0,94,,29,1,54
KE0901BC,2015-11-20,0,94,,42,3,66
KE0901BC,2015-11-21,0,94,,20,1,50
KE0901BC,2015-11-22,0,94,,24,4,38
KE0901BC,2015-11-23,0,94,,23,0,41
KE0901BC,2015-11-24,0,94,,17,0,32
KE0901BC,2015-11-25,0,94,,12,0,27
KE0901BC,2015-11-26,0,94,,34,0,57
KE0901BC,2015-11-27,0,94,,40,1,72
KE0901BC,2015-11-28,0,94,,33,0,48
KE0901BC,2015-11-29,0,94,,29,1,58
KE0901BC,2015-11-30,0,94,,35,2,49
KE0901BC,2015-12-01,0,94,,20,0,50
KE0901BC,2015-12-02,0,94,,15,0,31
KE0901BC,2015-12-03,0,94,,18,3,47
KE0901BC,2015-12-04,0,94,,49,2,82
KE0901BC,2015-12-05,0,94,,24,0,44
KE0901BC,2015-12-06,0,94,,31,1,48
KE0901BC,2015-12-07,0,94,,6,0,26
KE0901BC,2015-12-08,0,94,,6,0,30
KE0901BC,2015-12-09,0,94,,11,1,30
KE0901BC,2015-12-10,0,94,,17,1,48
KE0901BC,2015-12-11,0,94,,19,0,45
KE0901BC,2015-12-12,0,94,,11,1,31
KE0901BC,2015-12-13,0,94,,19,1,52
KE0901BC,2015-12-14,0,94,,19,1,46
KE0901BC,2015-12-15,0,94,,8,0,29
KE0901BC,2015-12-16,0,94,,16,1,40
KE0901BC,2015-12-17,0,94,,17,1,47
KE0901BC,2015-12-18,0,94,,56,0,90
KE0901BC,2015-12-19,0,94,,33,4,62
KE0901BC,2015-12-20,0,94,,15,2,47
KE0901BC,2015-12-21,0,56,,10,3,30
KE0901BC,2015-12-22,0,94,,13,5,41
KE0901BC,2015-12-23,0,94,,15,1,42
KE0901BC,2015-12-24,0,94,,9,5,33
KE0901BC,2015-12-25,0,94,,8,0,26
KE0901BC,2015-12-26,0,94,,11,0,24
KE0901BC,2015-12-27,0,94,,18,0,36
KE0901BC,2015-12-28,0,45,,12,1,30
KE0901BC,2015-12-29,0,45,,13,0,34
KE0901BC,2015-12-31,0,94,,5,1,42
KE0901BC,2016-01-01,0,94,,11,0,47
KE0901BC,2016-01-02,0,94,,11,0,73
KE0901BC,2016-01-03,0,94,,13,2,43
KE0901BC,2016-01-04,0,94,,14,1,29
KE0901BC,2016-01-05,0,94,,17,2,72
KE0901BC,2016-01-06,0,94,,11,0,77
KE0901BC,2016-01-07,0,94,,23,0,57
KE0901BC,2016-01-08,0,64,,12,0,52
KE0901BC,2016-01-09,0,94,,8,1,40
KE0901BC,2016-01-10,0,106,,20,0,106
KE0901BC,2016-01-11,0,94,,14,0,80
KE0901BC,2016-01-12,0,94,,16,0,57
KE0901BC,2016-01-13,0,94,,15,1,45
KE0901BC,2016-01-14,0,56,,15,0,46
KE0901BC,2016-01-15,0,94,,25,0,52
KE0901BC,2016-01-16,0,94,,13,4,50
KE0901BC,2016-01-17,0,94,,32,0,65
KE0901BC,2016-01-18,0,94,,14,0,66
KE0901BC,2016-01-19,0,94,,21,1,93
KE0901BC,2016-01-20,0,94,,22,0,90
KE0901BC,2016-01-21,0,94,,44,0,74
KE0901BC,2016-01-22,0,94,,44,2,80
KE0901BC,2016-01-23,0,94,,38,1,68
